time,x,y,z,vx,vy,vz,mass
2451544.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451545.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451546.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451547.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451548.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451549.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451550.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451551.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451552.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451553.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451554.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451555.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451556.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451557.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451558.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451559.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451560.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451561.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451562.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451563.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451564.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451565.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451566.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451567.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451568.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451569.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451570.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451571.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451572.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451573.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451574.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451575.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451576.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451577.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451578.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451579.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451580.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451581.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451582.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451583.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451584.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451585.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451586.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451587.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451588.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451589.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451590.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451591.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451592.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
2451593.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9885e+30
